,,,hwa_matmul,hwa_matmul_spm,hwa_matmul_uncached,tacle_matrix1,tacle_matrix1_spm,tacle_matrix1_uncached
Type=float,NBANKS=3,4x4,104,104,104,14453,13372,19119
,,16x16,4184,4184,4184,752582,700294,1073272
,,32x32,32918,32918,32918,6508949,5626333,8622435
,NBANKS=5,4x4,74,74,74,14452,13364,19139
,,16x16,2144,2144,2144,752571,700303,1073260
,,32x32,16550,16550,16550,6509134,5626339,8622506
,NBANKS=9,4x4,62,62,62,14453,13372,19133
,,16x16,1124,1124,1124,752595,700297,1073323
,,32x32,8366,8366,8366,6509157,5626335,8622506
Type=int,NBANKS=3,4x4,92,92,92,2174,1604,7063
,,16x16,4124,4124,4124,93630,66078,414617
,,32x32,32792,32792,32792,1199303,508662,3307086
,NBANKS=5,4x4,56,56,56,2183,1604,7073
,,16x16,2072,2072,2072,93630,66078,414408
,,32x32,16412,16412,16412,1199303,508656,3307099
,NBANKS=9,4x4,44,44,44,2178,1604,7120
,,16x16,1052,1052,1052,93619,66080,414672
,,,8216,8216,8216,1199337,508658,3307104
,,,hwa_matmul,hwa_matmul_spm,hwa_matmul_uncached,tacle_matrix1,tacle_matrix1_spm,tacle_matrix1_uncached
Type=float,NBANKS=3,4x4,2310,2285,3211,0,0,0
,,16x16,14983,13136,27865,0,0,0
,,32x32,66056,46855,105445,0,0,0
,NBANKS=5,4x4,2404,2417,3350,0,0,0
,,16x16,15337,13960,28689,0,0,0
,,32x32,66683,49507,108243,0,0,0
,NBANKS=9,4x4,2561,2573,3481,0,0,0
,,16x16,15993,14610,29329,0,0,0
,,32x32,67841,50703,109491,0,0,0
Type=int,NBANKS=3,4x4,2282,2252,3178,0,0,0
,,16x16,14954,13108,27796,0,0,0
,,32x32,66008,46847,105424,0,0,0
,NBANKS=5,4x4,2385,2400,3314,0,0,0
,,16x16,15296,13945,28680,0,0,0
,,32x32,66662,49485,108212,0,0,0
,NBANKS=9,4x4,2543,2533,3457,0,0,0
,,16x16,15977,14579,29298,0,0,0
,,,0,0,0,0,0,0
,,,hwa_matmul,hwa_matmul_spm,hwa_matmul_uncached,tacle_matrix1,tacle_matrix1_spm,tacle_matrix1_uncached
Type=float,NBANKS=3,4x4,2414,2389,3315,14453,13372,19119
,,16x16,19167,17320,32049,752582,700294,1073272
,,32x32,98974,79773,138363,6508949,5626333,8622435
,NBANKS=5,4x4,2478,2491,3424,14452,13364,19139
,,16x16,17481,16104,30833,752571,700303,1073260
,,32x32,83233,66057,124793,6509134,5626339,8622506
,NBANKS=9,4x4,2623,2635,3543,14453,13372,19133
,,16x16,17117,15734,30453,752595,700297,1073323
,,32x32,76207,59069,117857,6509157,5626335,8622506
Type=int,NBANKS=3,4x4,2374,2344,3270,2174,1604,7063
,,16x16,19078,17232,31920,93630,66078,414617
,,32x32,98800,79639,138216,1199303,508662,3307086
,NBANKS=5,4x4,2441,2456,3370,2183,1604,7073
,,16x16,17368,16017,30752,93630,66078,414408
,,32x32,83074,65897,124624,1199303,508656,3307099
,NBANKS=9,4x4,2587,2577,3501,2178,1604,7120
,,16x16,17029,15631,30350,93619,66080,414672
,,32x32,76084,58893,117680,1199337,508658,3307104
