,,,hwa_matmul,hwa_matmul_spm,hwa_matmul_uncached,tacle_matrix1,tacle_matrix1_spm,tacle_matrix1_uncached
Type=float,NBANKS=3,4x4,104,104,104,14453,13372,19119
,,16x16,4184,4184,4184,752582,700294,1073272
,,32x32,32918,32918,32918,6508949,5626333,8622435
,NBANKS=5,4x4,74,74,74,14452,13364,19139
,,16x16,2144,2144,2144,752571,700303,1073260
,,32x32,16550,16550,16550,6509134,5626339,8622506
,NBANKS=9,4x4,62,62,62,14453,13372,19133
,,16x16,1124,1124,1124,752595,700297,1073323
,,32x32,8366,8366,8366,6509157,5626335,8622506
Type=int,NBANKS=3,4x4,92,92,92,2174,1604,7063
,,16x16,4124,4124,4124,93630,66078,414617
,,32x32,32792,32792,32792,1199303,508662,3307086
,NBANKS=5,4x4,56,56,56,2183,1604,7073
,,16x16,2072,2072,2072,93630,66078,414408
,,32x32,16412,16412,16412,1199303,508656,3307099
,NBANKS=9,4x4,44,44,44,2178,1604,7120
,,16x16,1052,1052,1052,93619,66080,414672
,,32x32,8216,8216,8216,1199337,508658,3307104
