,,,hwa_matmul_nb,hwa_matmul_nb_spm,hwa_matmul_nb_uncached,tacle_matrix1_spm,tacle_matrix1_uncached
Type=float,NBANKS=3,4x4,1036.0,1316.0,44834.0,13054.0,18827.0
,,16x16,11653.0,9363.0,52267.0,440410.0,1072993.0
,,32x32,76574.0,60000.0,125558.0,3493051.0,8622211.0
,NBANKS=5,4x4,1010.0,1288.0,43497.0,13065.0,18818.0
,,16x16,10752.0,8174.0,49730.0,440409.0,1072993.0
,,32x32,56958.0,40099.0,102536.0,3493048.0,8622171.0
,NBANKS=9,4x4,1025.0,1306.0,43324.0,13065.0,18822.0
,,16x16,10051.0,7455.0,48848.0,440413.0,1072981.0
,,32x32,50883.0,34015.0,95172.0,3493045.0,8622166.0
Type=int,NBANKS=3,4x4,997.0,950.0,42998.0,1970.0,7452.0
,,16x16,12099.0,8505.0,51463.0,71464.0,420912.0
,,32x32,76571.0,56725.0,121784.0,545817.0,3326617.0
,NBANKS=5,4x4,1019.0,1015.0,42364.0,1970.0,7423.0
,,16x16,10687.0,7311.0,48976.0,71464.0,420927.0
,,32x32,56727.0,36855.0,98723.0,545817.0,3327317.0
,NBANKS=9,4x4,1198.0,1229.0,42186.0,1974.0,7434.0
,,16x16,10169.0,6588.0,47690.0,71468.0,420912.0
,,32x32,50712.0,30761.0,91561.0,545817.0,3326994.0
