,,,hwa_matmul,hwa_matmul_spm,hwa_matmul_uncached,tacle_matrix1,tacle_matrix1_spm,tacle_matrix1_uncached
Type=float,NBANKS=3,4x4,275.0,196.0,1116.0,0.0,0.0,0.0
,,16x16,4724.0,3607.0,19576.0,0.0,0.0,0.0
,,32x32,42363.0,23583.0,82930.0,0.0,0.0,0.0
,NBANKS=5,4x4,301.0,224.0,1152.0,0.0,0.0,0.0
,,16x16,6264.0,4544.0,19773.0,0.0,0.0,0.0
,,32x32,39085.0,20313.0,79416.0,0.0,0.0,0.0
,NBANKS=9,4x4,332.0,253.0,1214.0,0.0,0.0,0.0
,,16x16,6572.0,4838.0,20198.0,0.0,0.0,0.0
,,32x32,41083.0,22423.0,81428.0,0.0,0.0,0.0
Type=int,NBANKS=3,4x4,269.0,199.0,1118.0,0.0,0.0,0.0
,,16x16,5028.0,2940.0,19445.0,0.0,0.0,0.0
,,32x32,42459.0,23728.0,82850.0,0.0,0.0,0.0
,NBANKS=5,4x4,300.0,220.0,1149.0,0.0,0.0,0.0
,,16x16,6224.0,4515.0,19740.0,0.0,0.0,0.0
,,32x32,39015.0,20287.0,79338.0,0.0,0.0,0.0
,NBANKS=9,4x4,326.0,251.0,1172.0,0.0,0.0,0.0
,,16x16,6560.0,4801.0,20187.0,0.0,0.0,0.0
,,32x32,41090.0,22379.0,81429.0,0.0,0.0,0.0
