,,,hwa_matmul,hwa_matmul_spm,hwa_matmul_uncached,tacle_matrix1,tacle_matrix1_spm
Type=float,NBANKS=3,4x4,141342.0,140332.0,141340.0,213593.0,208451.0
,,16x16,182406.0,166276.0,182404.0,13430765.0,13072787.0
,,32x32,312891.0,248377.0,312889.0,107193330.0,104301204.0
,NBANKS=5,4x4,141488.0,140508.0,141516.0,213593.0,208451.0
,,16x16,182768.0,167148.0,183276.0,13430765.0,13072787.0
,,32x32,313541.0,251075.0,315587.0,107193330.0,104301204.0
,NBANKS=9,4x4,141760.0,140750.0,141758.0,213593.0,208451.0
,,16x16,183512.0,167892.0,184020.0,13430765.0,13072787.0
,,32x32,314829.0,252363.0,316875.0,107193330.0,104301204.0
Type=int,NBANKS=3,4x4,141342.0,140332.0,141340.0,6900.0,1725.0
,,16x16,182406.0,166276.0,182404.0,410604.0,71493.0
,,32x32,312891.0,248377.0,312889.0,3247565.0,530534.0
,NBANKS=5,4x4,141488.0,140508.0,141516.0,6900.0,1725.0
,,16x16,182768.0,167148.0,183276.0,410604.0,71493.0
,,32x32,313541.0,251075.0,315587.0,3247565.0,530534.0
,NBANKS=9,4x4,141760.0,140750.0,141758.0,6900.0,1725.0
,,16x16,183512.0,167892.0,184020.0,410604.0,71493.0
,,32x32,314829.0,252363.0,316875.0,3247565.0,530534.0
