,,,hwa_minver,hwa_minver_spm,hwa_minver_uncached,tacle_minver,tacle_minver_spm,tacle_minver_uncached
Type=float,NBANKS=1,4x4,626.0,626.0,626.0,76286.0,74927.0,79729.0
,,16x16,16076.0,16076.0,16076.0,1965181.0,1912853.0,2194171.0
,,32x32,110606.0,110606.0,110606.0,11516264.0,10872872.0,13061390.0
,NBANKS=2,4x4,632.0,632.0,632.0,76242.0,74857.0,79683.0
,,16x16,10172.0,10172.0,10172.0,1965366.0,1912697.0,2194119.0
,,32x32,61454.0,61454.0,61454.0,11516589.0,10872820.0,13061416.0
,NBANKS=4,4x4,812.0,812.0,812.0,76243.0,74893.0,79732.0
,,16x16,12182.0,12182.0,12182.0,1965122.0,1912697.0,2194169.0
,,32x32,55238.0,55238.0,55238.0,11516296.0,10872957.0,13061390.0
,,,hwa_minver,hwa_minver_spm,hwa_minver_uncached,tacle_minver,tacle_minver_spm,tacle_minver_uncached
Type=float,NBANKS=1,4x4,1814.0,1684.0,2207.0,0.0,0.0,0.0
,,16x16,11896.0,9009.0,17000.0,0.0,0.0,0.0
,,32x32,43903.0,31721.0,63562.0,0.0,0.0,0.0
,NBANKS=2,4x4,2018.0,1881.0,2381.0,0.0,0.0,0.0
,,16x16,12827.0,9921.0,17935.0,0.0,0.0,0.0
,,32x32,46280.0,34060.0,66103.0,0.0,0.0,0.0
,NBANKS=4,4x4,2209.0,2020.0,2525.0,0.0,0.0,0.0
,,16x16,14007.0,11084.0,19089.0,0.0,0.0,0.0
,,32x32,48452.0,36292.0,68325.0,0.0,0.0,0.0
,,,hwa_minver,hwa_minver_spm,hwa_minver_uncached,tacle_minver,tacle_minver_spm,tacle_minver_uncached
Type=float,NBANKS=1,4x4,2440.0,2310.0,2833.0,76286.0,74927.0,79729.0
,,16x16,27972.0,25085.0,33076.0,1965181.0,1912853.0,2194171.0
,,32x32,154509.0,142327.0,174168.0,11516264.0,10872872.0,13061390.0
,NBANKS=2,4x4,2650.0,2513.0,3013.0,76242.0,74857.0,79683.0
,,16x16,22999.0,20093.0,28107.0,1965366.0,1912697.0,2194119.0
,,32x32,107734.0,95514.0,127557.0,11516589.0,10872820.0,13061416.0
,NBANKS=4,4x4,3021.0,2832.0,3337.0,76243.0,74893.0,79732.0
,,16x16,26189.0,23266.0,31271.0,1965122.0,1912697.0,2194169.0
,,32x32,103690.0,91530.0,123563.0,11516296.0,10872957.0,13061390.0
