,,,hwa_matmul,hwa_matmul_spm,hwa_matmul_uncached,tacle_matrix1,tacle_matrix1_spm,tacle_matrix1_uncached
Type=float,NBANKS=3,4x4,2310,2285,3211,0,0,0
,,16x16,14983,13136,27865,0,0,0
,,32x32,66056,46855,105445,0,0,0
,NBANKS=5,4x4,2404,2417,3350,0,0,0
,,16x16,15337,13960,28689,0,0,0
,,32x32,66683,49507,108243,0,0,0
,NBANKS=9,4x4,2561,2573,3481,0,0,0
,,16x16,15993,14610,29329,0,0,0
,,32x32,67841,50703,109491,0,0,0
Type=int,NBANKS=3,4x4,2282,2252,3178,0,0,0
,,16x16,14954,13108,27796,0,0,0
,,32x32,66008,46847,105424,0,0,0
,NBANKS=5,4x4,2385,2400,3314,0,0,0
,,16x16,15296,13945,28680,0,0,0
,,32x32,66662,49485,108212,0,0,0
,NBANKS=9,4x4,2543,2533,3457,0,0,0
,,16x16,15977,14579,29298,0,0,0
,,32x32,67868,50677,109464,0,0,0
