,,,hwa_matmul,hwa_matmul_spm,hwa_matmul_uncached,tacle_matrix1,tacle_matrix1_spm
Type=float,NBANKS=3,4x4,3706.0,2809.0,3817.0,213593.0,208451.0
,,16x16,44770.0,28753.0,44881.0,13430765.0,13072787.0
,,32x32,175234.0,110854.0,175366.0,107193330.0,104301204.0
,NBANKS=5,4x4,3844.0,2977.0,3985.0,213593.0,208451.0
,,16x16,45124.0,29617.0,45745.0,13430765.0,13072787.0
,,32x32,175876.0,113544.0,178056.0,107193330.0,104301204.0
,NBANKS=9,4x4,4100.0,3203.0,4211.0,213593.0,208451.0
,,16x16,45852.0,30345.0,46473.0,13430765.0,13072787.0
,,32x32,177148.0,114816.0,179328.0,107193330.0,104301204.0
Type=int,NBANKS=3,4x4,3706.0,2809.0,3817.0,6900.0,1725.0
,,16x16,44770.0,28753.0,44881.0,410604.0,71493.0
,,32x32,175234.0,110854.0,175366.0,3247565.0,530534.0
,NBANKS=5,4x4,3844.0,2977.0,3985.0,6900.0,1725.0
,,16x16,45124.0,29617.0,45745.0,410604.0,71493.0
,,32x32,175876.0,113544.0,178056.0,3247565.0,530534.0
,NBANKS=9,4x4,4100.0,3203.0,4211.0,6900.0,1725.0
,,16x16,45852.0,30345.0,46473.0,410604.0,71493.0
,,32x32,177148.0,114816.0,179328.0,3247565.0,530534.0
